"","lat","long","pika.pres","marmot.pres","talus.area","elev.m","group"
"318",39.3642,-106.21378,"Present","Absent","1001-5000m2",3432.32,"pikas.only"
"319",40.5555,-105.8137,"Present","Absent",">5 ha",3044.1,"pikas.only"
"320",40.4836,-105.9031,"Present","Absent","1001-5000m2",3254.36,"pikas.only"
"321",40.2579,-105.8114,"Absent","Absent","<1000m2",2622.27,"both.spp.absent"
"322",39.59578,-105.6504,"Present","Present",">1 ha",3942.64,"both.spp.present"
"323",40.09469,-105.58459,"Present","Absent",">1 ha",3419.47,"pikas.only"
"326",40.55582,-105.81373,"Present","Absent","<1000m2",3038.73,"pikas.only"
"328",39.7304,-105.82165,"Present","Absent","<1000m2",3534.78,"pikas.only"
"329",39.33894,-106.00901,"Present","Absent","5001-10,000m2",4150.24,"pikas.only"
"330",39.20215,-106.1503,"Present","Absent",">5 ha",3588.49,"pikas.only"
"331",39.167778,-106.47525,"Present","Absent",">1 ha",3449.23,"pikas.only"
"332",39.20205,-106.14989,"Present","Absent",">5 ha",3589.35,"pikas.only"
"333",39.36457,-106.21362,"Present","Absent","5001-10,000m2",3446.35,"pikas.only"
"334",40.09495,-105.58507,"Present","Absent",">1 ha",3433.55,"pikas.only"
"335",40.05,-105.35,"Present","no.data","5001-10,000m2",2141.83,"pikas.only"
"336",39.16781,-106.47537,"Present","Absent","5001-10,000m2",3446.96,"pikas.only"
"337",40.43153,-105.62559,"Absent","Absent","5001-10,000m2",3308.55,"both.spp.absent"
"338",40.47494,-105.65323,"Absent","Present","5001-10,000m2",3667.3,"marmots.only"
"339",40.1921,-105.6314,"Present","Absent",">1 ha",3235.14,"pikas.only"
"340",39.59558,-105.65014,"Present","Absent",">1 ha",3953.65,"pikas.only"
"343",39.78113,-105.88756,"Present","Absent","1001-5000m2",3699.8,"pikas.only"
"344",39.78004,-105.8873,"Present","Present",">1 ha",3724.45,"both.spp.present"
"345",39.16778,-106.47525,"Present","Absent",">1 ha",3449.23,"pikas.only"
"346",39.72968,-105.82246,"Present","Absent","1001-5000m2",3567.96,"pikas.only"
"347",39.20188,-106.14909,"Present","Absent",">5 ha",3587.48,"pikas.only"
"348",40.10267,-105.5908,"Present","Present",">5 ha",3530.11,"both.spp.present"
"349",39.56656,-105.72284,"Present","Absent",">5 ha",3336.67,"pikas.only"
"350",38.87585,-105.07256,"Absent","Absent","1001-5000m2",3487.52,"both.spp.absent"
"351",39.78086,-105.88804,"Present","Present",">1 ha",3720.58,"both.spp.present"
"352",40.261505,-105.631393,"Present","Absent","5001-10,000m2",3437.38,"pikas.only"
"353",40.43365,-105.74465,"Absent","Absent","<1000m2",3513.03,"both.spp.absent"
"354",40.19224,-105.63024,"Present","Absent",">5 ha",3238.73,"pikas.only"
"355",40.48334,-105.65516,"Absent","Present",">1 ha",3604.41,"marmots.only"
"356",38.87582,-105.07253,"Present","Absent","5001-10,000m2",3488.52,"pikas.only"
"357",39.59645,-105.65031,"Present","Present","5001-10,000m2",3917.8,"both.spp.present"
"358",40.44302,-105.88984,"Present","Absent",">5 ha",3448.94,"pikas.only"
"359",39.7254,-105.89466,"Present","Absent","5001-10,000m2",3669.84,"pikas.only"
"360",40.25792,-105.81145,"Absent","Absent","<1000m2",2622.27,"both.spp.absent"
"361",40.4316,-105.62554,"Absent","Absent","5001-10,000m2",3308.64,"both.spp.absent"
"362",39.36451,-106.21352,"Present","Absent","5001-10,000m2",3443.42,"pikas.only"
"363",39.73109,-105.8402,"Present","Absent","1001-5000m2",3913.9,"pikas.only"
"364",40.55548,-105.81372,"Present","Absent","5001-10,000m2",3044.54,"pikas.only"
"365",39.36146,-106.21358,"Present","Present","5001-10,000m2",3471.93,"both.spp.present"
"366",39.73065,-105.84101,"Present","Absent","<1000m2",3931.37,"pikas.only"
"367",37.1678,-106.47524,"Absent","Absent",">1 ha",3221.46,"both.spp.absent"
"368",39.3642,-106.21378,"Present","Absent","1001-5000m2",3432.32,"pikas.only"
"369",40.4821,-105.90483,"Present","Absent","5001-10,000m2",3253.25,"pikas.only"
"370",40.2613,-105.63126,"Present","Present",">5 ha",3440.86,"both.spp.present"
"371",39.20399,-106.15,"Present","Absent",">5 ha",3652.08,"pikas.only"
"372",40.555789,-105.8181,"Present","Present","5001-10,000m2",3037.12,"both.spp.present"
"373",39.33942,-106.00932,"Absent","Absent",">5 ha",4149.42,"both.spp.absent"
"374",40.43165,-105.62553,"Absent","Absent","<1000m2",3308.64,"both.spp.absent"
"375",39.78139,-105.88705,"Present","Absent","5001-10,000m2",3684.33,"pikas.only"
"376",39.75822,-105.88326,"Present","Absent","5001-10,000m2",3759.11,"pikas.only"
"377",39.72632,-105.83945,"Present","Absent","5001-10,000m2",3697,"pikas.only"
"378",40.1136,-105.5935,"Present","Absent",">1 ha",3404.53,"pikas.only"
"379",39.339395,-106.009295,"Present","Absent",">5 ha",4149.42,"pikas.only"
"380",39.5958,-105.6506,"Present","Present",">1 ha",3940.15,"both.spp.present"
"381",39.2074,-106.17,"Present","Absent",">5 ha",3725.13,"pikas.only"
"382",39.2021,-106.1498,"Present","Absent",">5 ha",3590.24,"pikas.only"
"383",39.20722,-106.16969,"Present","Absent",">1 ha",3718.43,"pikas.only"
"384",39.20279,-106.15072,"Present","Absent",">5 ha",3600.4,"pikas.only"
"385",40.431557,-105.625389,"Absent","Absent","1001-5000m2",3317.91,"both.spp.absent"
"386",39.20777,-106.17164,"Present","Absent",">1 ha",3765.76,"pikas.only"
"387",40.1255,-105.31254,"Present","Absent","<1000m2",1863.69,"pikas.only"
"388",39.20742,-106.16978,"Present","Absent","1001-5000m2",3721.84,"pikas.only"
"389",40.19365,-105.63004,"Present","Absent","5001-10,000m2",3160.43,"pikas.only"
"390",39.338913,-106.008896,"Present","Absent","<1000m2",4151.77,"pikas.only"
"392",39.56676,-105.72304,"Absent","Absent",">1 ha",3341.39,"both.spp.absent"
"394",40.26126,-105.63148,"Present","Absent","1001-5000m2",3437.75,"pikas.only"
"395",39.56604,-105.72325,"Absent","Absent",">1 ha",3295.89,"both.spp.absent"
"396",38.8758,-105.0726,"Absent","Absent","5001-10,000m2",3489.85,"both.spp.absent"
"397",40.09469,-105.5846,"Present","Present","1001-5000m2",3419.47,"both.spp.present"
"398",40.10521,-105.59793,"Present","Present","1001-5000m2",3679.63,"both.spp.present"
"399",40.19288,-105.63388,"Present","Absent","5001-10,000m2",3176.62,"pikas.only"
"400",39.73035,-105.82249,"Present","Absent",">1 ha",3546.38,"pikas.only"
"401",39.736207,-105.829395,"Absent","Absent","5001-10,000m2",3683.01,"both.spp.absent"
"402",39.7305,-105.84242,"Present","Absent","5001-10,000m2",3936.82,"pikas.only"
"403",39.38286,-106.12692,"Present","Present",">5 ha",3724.81,"both.spp.present"
"404",39.79844,-105.94009,"Present","Absent","1001-5000m2",3590.93,"pikas.only"
"405",40.26138,-105.63102,"Present","Absent",">5 ha",3445.8,"pikas.only"
"406",38.85801,-105.03334,"Absent","Absent","1001-5000m2",3349.25,"both.spp.absent"
"407",39.85986,-105.69046,"Present","Absent",">5 ha",3703.5,"pikas.only"
"408",39.3849,-106.1031,"Present","Present","1001-5000m2",3574.76,"both.spp.present"
"409",39.56679,-105.72288,"Present","Absent",">5 ha",3345.19,"pikas.only"
"410",39.59553,-105.65007,"Present","Absent","5001-10,000m2",3958.36,"pikas.only"
"411",40.3133,-105.703754,"Present","Absent","<1000m2",3745.58,"pikas.only"
"412",38.862367,-105.08865,"Absent","Present","<1000m2",3659.55,"marmots.only"
"413",40.434817,-105.629133,"Absent","Absent","1001-5000m2",3041.46,"both.spp.absent"
"414",40.108766,-105.597988,"Present","Present","1001-5000m2",3598.46,"both.spp.present"
"415",40.106576,-105.598316,"Present","Present","1001-5000m2",3677.84,"both.spp.present"
"416",40.43366,-105.74461,"Present","Present","5001-10,000m2",3511.1,"both.spp.present"
"417",39.36457,-106.21632,"Present","Present","1001-5000m2",3398.73,"both.spp.present"
"418",40.10349,-105.59712,"Present","Absent",">1 ha",3641.63,"pikas.only"
"419",39.16777,-106.47515,"Present","Present","5001-10,000m2",3446.76,"both.spp.present"
"421",39.85816,-105.69017,"Present","Absent",">5 ha",3779.12,"pikas.only"
"422",39.38655,-106.10546,"Present","Present",">1 ha",3585.69,"both.spp.present"
"424",39.73011,-105.84046,"Present","Absent","<1000m2",3924.2,"pikas.only"
"425",39.569,-105.65,"Present","no.data",">1 ha",3644.44,"pikas.only"
"426",39.72222,-105.89685,"Present","Present","1001-5000m2",3661.42,"both.spp.present"
"427",39.87968,-105.93666,"Present","Absent","<1000m2",3425.24,"pikas.only"
"428",40.47503,-105.65129,"Absent","Absent","<1000m2",3633.94,"both.spp.absent"
